Overtime Work Hours, Value
Russian Federation,0.10%
Switzerland,0.40%
Netherlands,0.40%
Sweden,1.10%
Latvia,1.30%
Denmark,2.30%
Estonia,2.40%
Norway,2.90%
Hungary,3%
Canada,3.70%
Finland,3.80%
Luxembourg,3.80%
Spain,4%
Italy,4.10%
Slovak Republic,4.10%
Germany,4.30%
Slovenia,4.40%
Belgium,4.80%
Ireland,5.30%
Czech Republic,5.60%
Poland,6%
Greece,6.40%
Austria,6.70%
Brazil,7.10%
France,7.70%
Portugal,8.30%
Chile,9.70%
United States,11.10%
United Kingdom,12.20%
Australia,13%
Iceland,15.70%
New Zealand,15.10%
Israel,15.40%
Japan,17.90%
South Africa,18.10%
Korea,25.20%
Mexico,28.70%
Turkey,32.60%
